video_id,clean_text,like_count,published_at,is_reply,cluster,aspect,sentiment
j3DuONZb3Ik,ok time and gravity being warped inside a black hole is actually proper science now pepper in some love and you stretch the thing a bit but still allows for a good plotscience balance but bringing cooper back from a black hole i thought nothing could escape a black hole once you get past the event horizon,0,2023-12-09T14:41:17Z,0,2,science and physics,1
qhW1HfSuPVQ,you explained nothing from the science or the film all tou have done was to summarise the key events frm the film in minutes,0,2017-12-16T00:08:49Z,0,1,science and physics,1
j3DuONZb3Ik,this is just a synopsis,0,2020-03-25T20:46:09Z,0,0,story and plot,1
zSWdZVtXT7E,eve online the movie,0,2014-05-19T17:43:44Z,0,1,music and soundtrack,1
zSWdZVtXT7E,its a space warp drive they are driving,2,2014-07-30T04:07:55Z,0,0,directing and vision,1
j3DuONZb3Ik,jajajaja eso fue un resumen de la pelcula no una explicacin del final xd,0,2020-05-28T03:54:33Z,0,0,ending,1
qhW1HfSuPVQ,did anyone catch thr squirrel at,1,2017-07-14T12:41:11Z,0,0,story and plot,1
BHsFzDON6pA,i feel like the ending screams studio interference,0,2016-07-17T03:07:02Z,0,1,ending,0
zSWdZVtXT7E,i think in the end of this movie the guy returns to earth but it is a parallel earth,0,2014-05-18T20:47:52Z,0,1,ending,1
zSWdZVtXT7E,this music gives me chills,0,2014-08-13T16:38:38Z,0,0,music and soundtrack,2
j3DuONZb3Ik,not only confusing but convoluted scientifically incoherent and transcendentally silly and sappy at the same time watch apollo for science nonfiction a space odyssey for science fiction,2,2020-10-06T22:24:41Z,0,2,science and physics,0
j3DuONZb3Ik,perhaps they arent from the future we know time does not flow for them like it does for us we only think theyre from the future because our perception of advanced abilities and technologies is that present day humans are the most advanced we dont have all the answers of humanitys past its entirely possible that humans from the past learned how to ascend to this higher dimension maybe to avoid natural disaster maybe after that disaster they continue to give aid to their d species so the rest of humanity can join them,7,2020-10-28T01:57:12Z,1,2,emotional impact,1
BHsFzDON6pA,airma d noctis it challenges our understanding of everything a its not only about how good the movie is its about the pleasure that the movie makes you think about life and emptyness if the ending had a more empty felling i would also love it,9,2016-04-26T16:47:59Z,1,1,ending,2
j3DuONZb3Ik,the equation was supposed to solve the problems related to infinite gravity at the center of a black hole,0,2023-01-13T18:39:17Z,1,2,ending,1
j3DuONZb3Ik,i cry every single time i watch this and ive watched this movie dozens of times,0,2020-04-27T22:04:48Z,0,1,ending,2
j3DuONZb3Ik,i love science fiction movies cosmology and physics imagine if this movie was real i could say that the universe is ferpect but also imagine that what if we are just the product of other civilation trying to save there spicies,0,2021-06-13T15:24:23Z,0,2,science and physics,2
j3DuONZb3Ik,this movie is one of my favorites,0,2024-12-06T06:52:04Z,0,1,story and plot,2
zSWdZVtXT7E,all hail king nolan,1,2014-05-16T17:15:19Z,0,0,ending,2
BHsFzDON6pA,of course interstellar is a not b,5,2020-03-04T21:17:02Z,0,2,science and physics,1
j3DuONZb3Ik,but why did humans of the future needs humans of the past to guarantee their survival did the future humans and their knowledge of time and gravity fudge things up and need help they wouldnt be there if current humans were in danger and wouldnt survive without there help,0,2022-10-20T04:07:26Z,0,2,science and physics,0
j3DuONZb3Ik,its about love and how it transcends everything,1,2022-10-28T20:15:26Z,0,0,story and plot,2
j3DuONZb3Ik,wtf i cant believe i paid for and sat through this film till the end just to impress my date go watch the time machine original george pal version to clean your palette asitwere,0,2021-04-04T07:04:26Z,0,1,visual effects and CGI,0
qhW1HfSuPVQ,wow what a very good video james,0,2021-05-01T11:02:54Z,0,3,directing and vision,2
j3DuONZb3Ik,its a really great film one of my alltime favorites but still the ending sucks in my opinion there would have been more plausible options or even options who would be open to speculation i would have liked more i mean the explanation of they and that love would guide cooper and the overall lame explanation or charactarisatuon of they is like at first there was a great and magnificant idea but because of time constraints the idea was cut an what was left just seemed unsufficiant,0,2022-08-13T17:39:25Z,0,1,ending,1
zSWdZVtXT7E,this movie was so awesomehope the martian will be like this one,0,2015-07-08T19:16:38Z,0,1,ending,2
